Fecha,Hora,Frecuencia cardiaca,Origen
2026.09.13 18:49:00,18:49:00,61,
2026.09.13 18:50:00,18:50:00,60,
2026.09.13 18:53:00,18:53:00,87,
2026.09.13 18:54:00,18:54:00,63,
2026.09.13 18:57:00,18:57:00,55,
2026.09.13 18:58:00,18:58:00,55,
2026.09.13 19:02:00,19:02:00,57,
2026.09.13 19:03:00,19:03:00,65,
2026.09.13 19:04:00,19:04:00,67,
2026.09.13 19:07:00,19:07:00,89,
2026.09.13 19:08:00,19:08:00,70,
2026.09.13 19:10:00,19:10:00,78,
2026.09.13 19:11:00,19:11:00,62,
2026.09.13 19:12:00,19:12:00,80,
2026.09.13 19:14:00,19:14:00,73,
2026.09.13 19:15:00,19:15:00,65,
2026.09.13 19:16:00,19:16:00,84,
2026.09.13 19:17:00,19:17:00,83,
2026.09.13 19:18:00,19:18:00,78,
2026.09.13 19:19:00,19:19:00,54,
